catalogNumber,Species,Genus,Subfamily,Family,Sex,Collection
UCSB_IZC00040988_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00038889_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00038673_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042543_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00034914_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00030944_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042691_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00009052_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042463_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00038891_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00026242_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UNKNOWN BEE #1_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042371_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042293_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010881_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00037222_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00038548_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010479_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010413_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00044443_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010508_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00036565_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00034449_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010536_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042882_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00009007_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010554_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010847_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010507_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00036553_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010556_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010537_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042399_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042101_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00038669_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00038928_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00038685_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042093_R,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00035618_R,Bombus californica,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00042970_R,Bombus californica,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00041667_R,Bombus californicus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010460_R,Bombus californicus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00028371_R,Bombus californicus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010431_R,Bombus californicus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010425_R,Bombus californicus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010546_R,Bombus californicus ,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035407_R,Bombus californicus ,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010906_R,Bombus californicus ,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010478_R,Bombus californicus ,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035557_R,Bombus melanopygus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009100_R,Bombus melanopygus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00028362_R,Bombus melanopygus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009120_R,Bombus melanopygus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035505_R,Bombus melanopygus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010290_R,Bombus melanopygus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00035189_R,Bombus melanopygus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009072_R,Bombus sonorus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009832_R,Bombus sonorus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010472_R,Bombus sonorus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010527_R,Bombus sonorus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00009816_R,Bombus sonorus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00010497_R,Bombus sonorus,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00033071_R,Bombus terricola,Bombus,Apinae,Apidae,Female,UCSB
UCSB_IZC00033495_R,Bombus terricola,Bombus,Apinae,Apidae,Female,UCSB
