catalogNumber,DryWeight_g_G,ITD_cm_G
UCSB_IZC00063910_L,0.047,0.087
UCSB_IZC00063931_L,0.049,
UCSB_IZC00058684_L,0.042,0.088
UCSB_IZC00058782_L,0.05,0.122
UCSB_IZC00065366_L,0.093,0.325
UCSB_IZC00058762_L,0.047,0.116
UCSB_IZC00058709_L,0.047,0.127
UCSB_IZC00058734_L,0.048,0.122
UCSB_IZC00058790_L,0.046,0.122
UCSB_IZC00058725_L,0.046,0.116
UCSB_IZC00058481_L,0.051,0.144
UCSB_IZC00058195_L,0.051,0.144
UCSB_IZC00058173_L,0.051,0.149
UCSB_IZC00058454_L,0.051,0.155
UCSB_IZC00063917_L,0.05,0.101
UCSB_IZC00063940_L,0.051,0.108
UCSB_IZC00059206_L,0.046,0.097
UCSB_IZC00058606_L,0.048,0.081
UCSB_IZC00063949_L,0.047,0.086
UCSB_IZC00055850_L,0.047,0.092
UCSB_IZC00055334_L,0.077,0.347
UCSB_IZC00058704_L,0.045,0.103
UCSB_IZC00055301_L,0.069,0.292
UCSB_IZC00062632_L,0.072,0.307
UCSB_IZC00055375_L,0.076,0.314
UCSB_IZC00065343_L,0.095,0.329
UCSB_IZC00065392_L,0.104,0.367
UCSB_IZC00058781_L,0.084,0.281
UCSB_IZC00055370_L,0.088,0.286
UCSB_IZC00065459_L,0.083,0.288
UCSB_IZC00055352_L,0.087,0.302
UCSB_IZC00055795_L,0.091,0.315
UCSB_IZC00055278_L,0.061,0.262
UCSB_IZC00055764_L,0.085,0.296
UCSB_IZC00058745_L,0.124,0.371
UCSB_IZC00058793_L,0.078,0.284
UCSB_IZC00055377_L,0.101,0.304
UCSB_IZC00065386_L,0.091,0.319
UCSB_IZC00055266_L,0.098,0.308
UCSB_IZC00058697_L,0.048,0.123
UCSB_IZC00062589_L,0.043,0.087
UCSB_IZC00065348_L,0.065,0.162
UCSB_IZC00059168_L,0.043,0.088
UCSB_IZC00058785_L,0.043,0.088
UCSB_IZC00062591_L,0.043,0.091
UCSB_IZC00055782_L,0.061,0.241
UCSB_IZC00065400_L,0.051,0.122
UCSB_IZC00058768_L,0.048,0.122
UCSB_IZC00055316_L,0.052,0.11
UCSB_IZC00058791_L,0.05,0.131
UCSB_IZC00058749_L,0.046,0.146
UCSB_IZC00055358_L,0.042,0.148
UCSB_IZC00062637_L,0.069,0.153
UCSB_IZC00055380_L,0.068,0.173
UCSB_IZC00055321_L,0.075,0.165
UCSB_IZC00058278_L,0.046,0.153
UCSB_IZC00059219_L,0.048,0.113
UCSB_IZC00059175_L,0.041,0.092
UCSB_IZC00059208_L,0.049,0.102
UCSB_IZC00065401_L,0.039,0.106
UCSB_IZC00058707_L,0.037,0.107
UCSB_IZC00065446_L,0.035,0.111
UCSB_IZC00058730_L,0.038,0.113
UCSB_IZC00063841_L,0.027,0.078
UCSB_IZC00058157_L,0.047,0.081
UCSB_IZC00058415_L,0.048,0.083
UCSB_IZC00058487_L,0.047,0.084
UCSB_IZC00063902_L,0.048,0.091
UCSB_IZC00063927_L,0.04,0.097
UCSB_IZC00065361_L,0.052,0.221
UCSB_IZC00055341_L,0.06,0.225
UCSB_IZC00055310_L,0.067,0.267
UCSB_IZC00055371_L,0.072,0.285
UCSB_IZC00065380_L,0.074,0.308
UCSB_IZC00065397_L,0.081,0.31
UCSB_IZC00055788_L,0.077,0.336
UCSB_IZC00065396_L,0.072,0.264
UCSB_IZC00058744_L,0.06,0.279
UCSB_IZC00055280_L,0.072,0.291
UCSB_IZC00055332_L,0.069,0.293
UCSB_IZC00058799_L,0.074,0.309
UCSB_IZC00058683_L,0.046,0.117
UCSB_IZC00055483_L,0.049,0.115
UCSB_IZC00055417_L,0.048,0.122
UCSB_IZC00055441_L,0.048,0.122
UCSB_IZC00055401_L,0.049,0.125
UCSB_IZC00055465_L,0.049,0.129
UCSB_IZC00055412_L,0.049,0.141
UCSB_IZC00058324_L,0.038,0.087
UCSB_IZC00055421_L,0.048,0.121
UCSB_IZC00055415_L,0.048,0.128
UCSB_IZC00055391_L,0.048,0.131
UCSB_IZC00055797_L,0.067,0.29
UCSB_IZC00065356_L,0.05,0.125
UCSB_IZC00055350_L,0.051,0.128
UCSB_IZC00058718_L,0.045,0.118
UCSB_IZC00059201_L,0.047,0.123
UCSB_IZC00065421_L,0.049,0.135
UCSB_IZC00065399_L,0.055,0.156
UCSB_IZC00058617_L,0.049,0.155
UCSB_IZC00058156_L,0.052,0.16
UCSB_IZC00065006_L,0.045,0.083
UCSB_IZC00055263_L,0.047,0.13
UCSB_IZC00055771_L,0.062,0.142
UCSB_IZC00055274_L,0.064,0.152
UCSB_IZC00055784_L,0.067,0.16
UCSB_IZC00055755_L,0.061,0.161
UCSB_IZC00055777_L,0.069,0.168
UCSB_IZC00055325_L,0.064,0.17
UCSB_IZC00055361_L,0.065,0.172
UCSB_IZC00055345_L,0.076,0.173
UCSB_IZC00065354_L,0.065,0.174
UCSB_IZC00055312_L,0.066,0.175
UCSB_IZC00055756_L,0.065,0.182
UCSB_IZC00058573_L,0.053,0.16
UCSB_IZC00058787_L,0.049,0.103
UCSB_IZC00063929_L,0.05,0.107
UCSB_IZC00055786_L,0.047,0.099
UCSB_IZC00063842_L,0.049,0.079
UCSB_IZC00063845_L,0.048,0.08
UCSB_IZC00063843_L,0.047,0.083
UCSB_IZC00055814_L,0.047,0.084
UCSB_IZC00063944_L,0.048,0.086
UCSB_IZC00065040_L,0.049,0.088
UCSB_IZC00063892_L,0.045,0.088
UCSB_IZC00058380_L,0.046,0.089
UCSB_IZC00065412_L,0.048,0.089
UCSB_IZC00058729_L,0.043,0.096
UCSB_IZC00055746_L,0.05,0.132
UCSB_IZC00055794_L,0.085,0.29
UCSB_IZC00058763_L,0.084,0.31
UCSB_IZC00058805_L,0.05,0.131
UCSB_IZC00062638_L,0.05,0.109
UCSB_IZC00055335_L,0.051,0.113
UCSB_IZC00058700_L,0.052,0.117
UCSB_IZC00065398_L,0.051,0.119
UCSB_IZC00058755_L,0.049,0.121
UCSB_IZC00055281_L,0.05,0.123
UCSB_IZC00062618_L,0.051,0.123
UCSB_IZC00055346_L,0.052,0.124
UCSB_IZC00065388_L,0.05,0.125
UCSB_IZC00062603_L,0.051,0.128
UCSB_IZC00065413_L,0.05,0.129
UCSB_IZC00065454_L,0.051,0.129
UCSB_IZC00062634_L,0.049,0.129
UCSB_IZC00055328_L,0.051,0.129
UCSB_IZC00058775_L,0.051,0.13
UCSB_IZC00055781_L,0.051,0.13
UCSB_IZC00062586_L,0.048,0.134
UCSB_IZC00055799_L,0.05,0.134
UCSB_IZC00065387_L,0.051,0.135
UCSB_IZC00062605_L,0.05,0.135
UCSB_IZC00055368_L,0.05,0.135
UCSB_IZC00062626_L,0.05,0.137
UCSB_IZC00065381_L,0.052,0.138
UCSB_IZC00055306_L,0.052,0.143
UCSB_IZC00065448_L,0.049,0.12
UCSB_IZC00055790_L,0.066,0.169
UCSB_IZC00058194_L,0.049,0.121
UCSB_IZC00058611_L,0.051,0.145
UCSB_IZC00058284_L,0.051,0.152
UCSB_IZC00058290_L,0.052,0.158
UCSB_IZC00058522_L,0.052,0.161
UCSB_IZC00058637_L,0.053,0.163
UCSB_IZC00058185_L,0.051,0.166
UCSB_IZC00063954_L,0.049,0.1
UCSB_IZC00065346_L,0.039,0.11
UCSB_IZC00058760_L,0.046,0.103
UCSB_IZC00059188_L,0.047,0.111
UCSB_IZC00058690_L,0.047,0.112
UCSB_IZC00058779_L,0.044,0.094
UCSB_IZC00058796_L,0.042,0.095
UCSB_IZC00055355_L,0.049,0.139
UCSB_IZC00058757_L,0.066,0.28
UCSB_IZC00055785_L,0.046,0.122
UCSB_IZC00056445_L,0.05,0.149
UCSB_IZC00059172_L,0.049,0.112
UCSB_IZC00058348_L,0.046,0.083
UCSB_IZC00058439_L,0.047,0.091
UCSB_IZC00063875_L,0.047,0.092
UCSB_IZC00055941_L,0.047,0.093
UCSB_IZC00063866_L,0.049,0.094
UCSB_IZC00065449_L,0.042,0.087
UCSB_IZC00055384_L,0.049,0.117
UCSB_IZC00059215_L,0.047,0.118
UCSB_IZC00055366_L,0.079,0.29
UCSB_IZC00055287_L,0.091,0.287
UCSB_IZC00065341_L,0.093,0.326
UCSB_IZC00065359_L,0.117,0.358
UCSB_IZC00058780_L,0.05,0.15
UCSB_IZC00058694_L,0.044,0.111
UCSB_IZC00055264_L,0.046,0.12
UCSB_IZC00055747_L,0.071,0.186
UCSB_IZC00055342_L,0.046,0.111
UCSB_IZC00055354_L,0.046,0.134
UCSB_IZC00065429_L,0.039,0.123
UCSB_IZC00065365_L,0.05,0.124
UCSB_IZC00058181_L,0.051,0.152
UCSB_IZC00058182_L,0.053,0.166
UCSB_IZC00058751_L,0.046,0.105
UCSB_IZC00062633_L,0.047,0.119
UCSB_IZC00056210_L,0.044,0.097
UCSB_IZC00055381_L,0.043,0.119
UCSB_IZC00055272_L,0.051,0.128
UCSB_IZC00058682_L,0.05,0.129
UCSB_IZC00058705_L,0.05,0.13
UCSB_IZC00062635_L,0.05,0.131
UCSB_IZC00065442_L,0.051,0.132
UCSB_IZC00062622_L,0.05,0.134
UCSB_IZC00059207_L,0.05,0.14
UCSB_IZC00065371_L,0.043,0.148
UCSB_IZC00065405_L,0.05,0.148
UCSB_IZC00058735_L,0.035,0.115
UCSB_IZC00058192_L,0.039,0.114
UCSB_IZC00058624_L,0.04,0.122
UCSB_IZC00056420_L,0.05,0.13
UCSB_IZC00058186_L,0.051,0.133
UCSB_IZC00058177_L,0.049,0.129
UCSB_IZC00055348_L,0.048,0.12
UCSB_IZC00058701_L,0.48,0.121
UCSB_IZC00055268_L,0.048,0.12
UCSB_IZC00058714_L,0.049,0.125
UCSB_IZC00055432_L,0.047,0.121
UCSB_IZC00055431_L,0.049,0.125
UCSB_IZC00055396_L,0.049,0.128
UCSB_IZC00055411_L,0.049,0.13
UCSB_IZC00055385_L,0.048,0.131
UCSB_IZC00055395_L,0.049,0.136
UCSB_IZC00055402_L,0.05,0.143
UCSB_IZC00060230_L,0.047,0.093
UCSB_IZC00055404_L,0.048,0.125
UCSB_IZC00055374_L,0.078,0.285
UCSB_IZC00058721_L,0.043,0.084
UCSB_IZC00062627_L,0.05,0.122
UCSB_IZC00055295_L,0.095,0.303
UCSB_IZC00055770_L,0.115,0.324
UCSB_IZC00055379_L,0.119,0.327
UCSB_IZC00065385_L,0.098,0.328
UCSB_IZC00055276_L,0.107,0.335
UCSB_IZC00055356_L,0.107,0.335
UCSB_IZC00055759_L,0.115,0.342
UCSB_IZC00062628_L,0.09,0.343
UCSB_IZC00055279_L,0.119,0.353
UCSB_IZC00065363_L,0.103,0.353
UCSB_IZC00055745_L,0.13,0.354
UCSB_IZC00055749_L,0.133,0.358
UCSB_IZC00055743_L,0.124,0.359
UCSB_IZC00065376_L,0.141,0.359
UCSB_IZC00055758_L,0.129,0.363
UCSB_IZC00055796_L,0.124,0.363
UCSB_IZC00065394_L,0.113,0.366
UCSB_IZC00055349_L,0.124,0.368
UCSB_IZC00065435_L,0.143,0.37
UCSB_IZC00058776_L,0.128,0.378
UCSB_IZC00055780_L,0.124,0.39
UCSB_IZC00065391_L,0.158,0.396
UCSB_IZC00065372_L,0.151,0.402
UCSB_IZC00065350_L,0.135,0.411
UCSB_IZC00055322_L,0.148,0.423
UCSB_IZC00065406_L,0.178,0.489
UCSB_IZC00055290_L,0.212,0.523
UCSB_IZC00058687_L,0.223,0.523
UCSB_IZC00059174_L,0.306,0.528
UCSB_IZC00055792_L,0.208,0.531
